file,row_index,correct_answer,rationale
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0015.mp4,0,A,"The woman is shown tilting the bottle and pouring the golden liquid over the various firearms, arrows, and ammunition stored inside the wooden crate."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0018.mp4,1,A,The young man walking at the back of the group is clearly visible holding a long-barreled gun in his hand as the trio moves down a slope and through the trees.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0010.mp4,2,A,"In the target scene, the woman is shown crouching and peering over the top of a massive horizontal fallen tree trunk covered in moss and bark to avoid being seen by the large creature."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0009.mp4,3,B,"In the target scene, a hand enters the frame holding a small brown rag and gently dabs and wipes the cheek and jawline of the woman while her eyes remain closed."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0006.mp4,4,C,"When the decoy figure is knocked over in the forest, a pumpkin is shown rolling out from the neck area of the clothing. This same item was previously handled by the man and woman in the marketplace."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0012.mp4,5,B,"The creature is seen peeling a large, fan-shaped mushroom off a rock and using it as a vessel to scoop up water from a stream for the woman to drink."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0003.mp4,6,C,"In the target scene, the man with the distinctive black nose strap is shown leaning against a wooden beam in a doorway and smoking a pipe while watching the village street. While he was previously seen holding a leather boot and sitting at a table in the context, he is now performing a different action at the entrance of the building."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0014.mp4,7,B,"In the target scene's flashback sequence, the woman in the blue dress walks over to the man working in the garden, and the two of them embrace and kiss."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0002.mp4,8,B,"After falling to the ground in the forest, the man is seen swinging his large firearm in a complete circular flip over his shoulder as he stands back up."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0013.mp4,9,C,"When the woman is shown in a close-up while hugging and looking at the man inside the ruined building, several red marks or cuts are clearly visible on her forehead."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0008.mp4,10,B,"In the target scene, the man is shown reaching down to grab the distinctive mechanical crossbow from the floor. This same weapon was previously highlighted in a close-up on the floor during the context as a woman walked past it."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0011.mp4,11,B,"As the man moves through the water, his bare right shoulder and upper back are visible above the surface, showing a large dark purple bruise and several distinct red scratch marks."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0032.mp4,12,B,"In the final part of the video, the man holds up his right arm toward the pale figure, and it is clearly visible that the hand is missing, leaving only a stump."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0021.mp4,13,D,"In the target scene, the girl in the pink dress is shown sitting alone on a stone staircase while she adjusts her shoes and appears to be crying."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0033.mp4,14,B,"In the target scene, after the red spell strikes him at approximately 01:43, the boy is shown crawling and then crouching behind a large, rectangular stone tombstone to take cover. This is a distinct location from the winged statue where he was pinned during the context portion of the video."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,15,B,"In the target scene, the man is shown walking up the stone steps of the large house and pushing the front door open to enter. The context earlier in the clip establishes that he noticed a light in this specific building while he was in his kitchen."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,16,B,"The target scene shows the large, winged creature closely pursuing the individual on the broomstick through a mountain valley, past a waterfall, and towards the high towers of a large stone castle. Under the pursuit, the person on the broomstick flies between the castle walls to evade the creature."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0036.mp4,17,C,"In the target scene, the boy is shown sitting in his room wearing a red and black shirt. This is the same shirt he is seen wearing in the context while observing the investigation of the man found inside the large trunk."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,18,C,"In the target scene, the boy holds his arms out in a specific frame and sways his body, imitating the formal ballroom dancing positions that were shown being practiced by students earlier in the video."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0031.mp4,19,B,"In the target scene, the individual in the yellow and black shirt is struck by a green beam of light and is subsequently shown lying motionless on the grass."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,20,D,"In the target scene, the man with long dark hair and a beard, who was welcomed earlier in the video, is shown cautiously opening large wooden doors to look at the glowing blue flames of the goblet inside a dark room."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0012.mp4,21,C,"In the target scene, the boy is walking through a dark forest at night accompanied by a large, bearded man who holds a lantern and a large red flower. This scene follows the context where a girl spoke to the boy in the woods earlier in the day, leading to this new meeting."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0003.mp4,22,C,"In the shots showing the man walking through the campsite, the ground is covered in broken wooden frames and many tents are seen lying flat or torn, with smoke rising from the wreckage."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0037.mp4,23,B,"In the wide landscape shot of the lake, a large ship with multiple masts is clearly visible sailing away on the surface of the water, while several carriages are seen flying in the air above it."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0020.mp4,24,C,The girl identified by her ruffled pink dress in the context is shown in the target scene dancing in the ballroom and being spun around by her partner among the other guests.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0019.mp4,25,C,"In the target scene, the individual wearing the distinctive ruffled brown robes is seen walking through a decorated hall accompanied by a girl in a pink and orange traditional-style garment."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,26,C,"Following the departure of the first champion in the yellow and black top, the camera focuses on the boy with glasses, who is shown sitting by himself on the edge of a bed in the empty tent before he stands up to leave."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0002.mp4,27,B,"In the target scene, a group of players is shown flying into the stadium on broomsticks wearing bright red robes and uniforms. This follows the green firework display shown in the preceding context."
