file,row_index,correct_answer,rationale
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0000.mp4,0,B,"The clip shows the children struggling with the woman inside the house before they shove her into a large, fiery oven and close the door, where she is seen burning."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0010.mp4,1,B,"In the final sequence of the clip, the young man, Ben, is shown swinging his large double-barreled weapon to strike the witch, which sends her flying into a rock wall where her body shatters into pieces."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0009.mp4,2,B,"After the group approaches the house, the pale witch grabs the younger man, knocks the blonde woman down and stabs her, and then enters a brutal hand-to-hand fight with a man and a woman inside the structure."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0006.mp4,3,B,"At approximately 03:36, the man enters the dark cabin, and shortly after, the roof gives way as a woman falls through the ceiling onto him. They recognize each other and share a long embrace on the floor."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0002.mp4,4,C,"The clip shows the man entering the tavern in distress, followed by a sequence where his body distorts and then violently bursts apart in front of the other patrons, leaving the floor covered in blood and remains."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0001.mp4,5,C,"At the end of the forest fight sequence, the man and woman use a cable trap that ensnares the creature's leg, pulling it upward and leaving it suspended upside down from a tree branch."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0007.mp4,6,B,"The clip shows a black-clad witch attacking the siblings in the derelict house around 01:37. Later, starting at 03:01, the man is shown being tended to by a blonde woman in a cave setting before he is seen preparing various specialized weapons, such as a multi-barrel gun and a crossbow, from a wagon."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0005.mp4,7,B,"At 03:18 and 04:04, a large creature is shown grabbing and striking the men who are restraining the woman in the forest."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0004.mp4,8,A,"After Dumbledore presents the initial three champions, the Goblet’s blue flame unexpectedly turns red once more and shoots out a fourth piece of parchment, from which Dumbledore reads the name ""Harry Potter."""
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,9,C,"At 3:24, as the group touches the boot, they are seen spinning rapidly into a glowing vortex. By 3:43, they land in a different open field near large cliffs, with the teenagers falling to the ground while the adults float down to a standing position."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,10,B,"At approximately 2:36, the boys touch the cup and are transported to a graveyard. Shortly after, at 3:20, a man appears and casts a green spell that kills the boy in the yellow shirt, while the boy in the red shirt is then pinned against a winged statue by the same man at 3:30."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,11,B,"The latter half of the clip depicts students from the visiting groups saying goodbye to Hogwarts students through hugs, notes, and kisses in the courtyard, followed by shots of their horse-drawn carriage flying away and their ship sailing across the water."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0010.mp4,12,B,"The clip clearly depicts a heated exchange between Ron and Hermione in a hallway near the end of the ball, followed by a shot of Hermione sitting alone on the stairs crying and taking off her shoes. The final sequence shows Harry waking up in his bed as a bird taps on the window."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0009.mp4,13,C,"The final sequence of the clip shows Hermione standing at the top of the stairs in a pink dress, then walking down as other students look on, and finally being met by Viktor Krum at the bottom."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0006.mp4,14,A,"At approximately 02:40 in the clip, the professor with the prosthetic eye casts a spell on the blonde student, instantly turning him into a white ferret, which he then bounces up and down with his wand."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0012.mp4,15,C,"After the boy frees the two remaining individuals and attempts to swim toward the surface, a large swarm of small, multi-limbed creatures attacks him, clinging to his body and dragging him back down."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0014.mp4,16,B,"At approximately 3:15, the blonde champion is shown being seized by the moving branches of the hedge maze and dragged into the greenery while she screams."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0002.mp4,17,C,"The video shows a group of girls in blue capes dancing and releasing blue glowing butterflies (02:47), followed by a group of men in brown uniforms who rhythmically thump wooden staffs on the floor (03:12) and breathe fire toward the head table (03:42)."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0013.mp4,18,A,"The video shows Harry falling through the air and landing in a courtroom next to Dumbledore. He then watches as Igor Karkaroff is questioned in a cage and identifies Barty Crouch Jr. as a Death Eater, leading to Crouch Jr. being seized by several guards."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0008.mp4,19,B,"At approximately 1:26, the dragon is shown crashing into the stone pillars and arches of a bridge while pursuing Harry, causing it to lose its momentum and fall into the valley below."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0001.mp4,20,C,"After the campsite is attacked and set on fire, the clip shows a man walking through the wreckage and pointing a wand at the sky to produce a large, glowing green symbol of a skull with a snake coming out of its mouth. Harry is then seen waking up on the ground and looking up at this symbol."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0016.mp4,21,B,"After the figure emerges and robes himself, he is joined by masked figures who arrive as trails of black smoke. He is then shown touching the forehead of the young man pinned to the statue before the two engage in a magical duel where their wand spells connect."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0007.mp4,22,A,"The video shows Harry drawing a small dragon from a bag while inside a tent with other participants, then attempting to grab a golden egg in a rocky arena, and finally being chased across the landscape and around a castle by a large dragon after calling for his broomstick."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0011.mp4,23,C,"Between 3:20 and 3:32, the clip clearly shows gills opening on the boy's neck followed by the appearance of webbed skin on his hands and feet while he is submerged."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0017.mp4,24,C,"In the clip, the man takes Harry to a room, drinks from a flask, and shows a bloody wound on his arm. He then begins to grunt and physically change as Dumbledore and other wizards burst in. They eventually open a large, magical chest that telescopes downward to reveal the real man trapped at the bottom, while the imposter fully transforms into a different person."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0005.mp4,25,C,"The clip depicts a sequence of events following the selection of the champions, beginning with Dumbledore’s confrontation and moving through an argument with Ron, an interview, and a visit to the owlery. It concludes in the common room (starting around 03:25), where a man's face (Sirius) appears within the burning embers of the fireplace to communicate with Harry."
3015_CHARLIE_ST_CLOUD/segment_0004.mp4,26,D,"In the final minutes of the clip, after hearing a knock and finding no one at the door, the man carries a jar containing a lit candle into a dark, wooded area featuring various stone pillars and monuments. He calls out the woman's name, and she eventually appears behind him, where they embrace and kiss."
3015_CHARLIE_ST_CLOUD/segment_0009.mp4,27,C,"Early in the clip, the man in the red shirt is seen standing and talking near a young boy in a red jacket, and towards the end of the clip, he is shown meeting a young woman in a sunlit part of the forest."
3015_CHARLIE_ST_CLOUD/segment_0006.mp4,28,C,"Visible evidence shows the man returning home after the cemetery scene, where he throws papers and maps around and searches through a drawer before heading to the woods to speak with the boy."
3015_CHARLIE_ST_CLOUD/segment_0003.mp4,29,A,"After talking to the man at the dock at night, the woman is shown during the day sailing her boat, the ""Querencia,"" through strong winds and turbulent water. In the final scene of the clip, she is seen kneeling next to a headstone in a cemetery when the man encounters her again."
